,eid,title,publicationName,coverDate,refcount,citedby_count,doi
0,2-s2.0-84875689316,Improved low voltage grid-integration of photovoltaic systems in Germany,IEEE Transactions on Sustainable Energy,2013-01-01,25,369,10.1109/TSTE.2012.2198925
0,2-s2.0-84919921209,Assessing the potential of network reconfiguration to improve distributed generation hosting capacity in active distribution systems,IEEE Transactions on Power Systems,2015-01-01,35,267,10.1109/TPWRS.2014.2320895
0,2-s2.0-85049520047,State-of-the-art of hosting capacity in modern power systems with distributed generation,Renewable Energy,2019-01-01,147,232,10.1016/j.renene.2018.07.008
0,2-s2.0-84937231895,Probabilistic Impact Assessment of Low Carbon Technologies in LV Distribution Systems,IEEE Transactions on Power Systems,2016-05-01,35,165,10.1109/TPWRS.2015.2448663
0,2-s2.0-84979468678,Distributed Generation Hosting Capacity Evaluation for Distribution Systems Considering the Robust Optimal Operation of OLTC and SVC,IEEE Transactions on Sustainable Energy,2016-07-01,45,161,10.1109/TSTE.2016.2529627
0,2-s2.0-85028807082,"On Distributed PV Hosting Capacity Estimation, Sensitivity Study, and Improvement",IEEE Transactions on Sustainable Energy,2017-07-01,21,135,10.1109/TSTE.2016.2640239
0,2-s2.0-85017549812,Methods and strategies for overvoltage prevention in low voltage distribution systems with PV,IET Renewable Power Generation,2017-01-01,96,121,10.1049/iet-rpg.2016.0277
0,2-s2.0-84946811904,Voltage control of PV-rich LV networks: OLTC-fitted transformer and capacitor banks,IEEE Transactions on Power Systems,2016-09-01,23,109,10.1109/TPWRS.2015.2494627
0,2-s2.0-84926389538,Real and reactive power control of distributed PV inverters for overvoltage prevention and increased renewable generation hosting capacity,Renewable Energy,2015-09-01,11,108,10.1016/j.renene.2015.03.012
0,2-s2.0-85028697291,PV Penetration Limits in Low Voltage Networks and Voltage Variations,IEEE Access,2017-08-30,49,106,10.1109/ACCESS.2017.2747086
0,2-s2.0-84992563845,Optimal operation of soft open points in medium voltage electrical distribution networks with distributed generation,Applied Energy,2016-12-15,30,104,10.1016/j.apenergy.2016.10.031
0,2-s2.0-85041306244,A Comprehensive Assessment of PV Hosting Capacity on Low-Voltage Distribution Systems,IEEE Transactions on Power Delivery,2018-04-01,27,98,10.1109/TPWRD.2018.2798707
0,2-s2.0-84892963062,Distribution expansion planning considering reliability and security of energy using modified PSO (Particle Swarm Optimization) algorithm,Energy,2014-02-01,47,91,10.1016/j.energy.2013.10.082
0,2-s2.0-80053358803,Increasing the hosting capacity of distribution networks by curtailment of renewable energy resources,"2011 IEEE PES Trondheim PowerTech: The Power of Technology for a Sustainable Society, POWERTECH 2011",2011-10-05,7,89,10.1109/PTC.2011.6019292
0,2-s2.0-84956861441,Improving distribution network PV hosting capacity via smart inverter reactive power support,IEEE Power and Energy Society General Meeting,2015-09-30,18,80,10.1109/PESGM.2015.7286523
0,2-s2.0-85028921990,Data-Driven DG Capacity Assessment Method for Active Distribution Networks,IEEE Transactions on Power Systems,2017-09-01,32,80,10.1109/TPWRS.2016.2633299
0,2-s2.0-84903219296,Techno-economic assessment of voltage control strategies in low voltage grids,IEEE Transactions on Smart Grid,2014-01-01,23,80,10.1109/TSG.2014.2320813
0,2-s2.0-85008426027,Voltage Control with PV Inverters in Low Voltage Networks-In Depth Analysis of Different Concepts and Parameterization Criteria,IEEE Transactions on Power Systems,2017-01-01,32,79,10.1109/TPWRS.2016.2554099
0,2-s2.0-85029374476,Hosting capacity of the power grid for renewable electricity production and new large consumption equipment,Energies,2017-01-01,99,75,10.3390/en10091325
0,2-s2.0-85016451814,Increasing PV hosting capacity in distorted distribution systems using passive harmonic filtering,Electric Power Systems Research,2017-07-01,40,74,10.1016/j.epsr.2017.03.020
0,2-s2.0-85037651214,The German experience with integrating photovoltaic systems into the low-voltage grids,Renewable Energy,2018-04-01,24,74,10.1016/j.renene.2017.11.045
0,2-s2.0-85021307168,On Estimation and Sensitivity Analysis of Distribution Circuit's Photovoltaic Hosting Capacity,IEEE Transactions on Power Systems,2017-07-01,25,70,10.1109/TPWRS.2016.2622286
0,2-s2.0-85030627986,Robust Capacity Assessment of Distributed Generation in Unbalanced Distribution Networks Incorporating ANM Techniques,IEEE Transactions on Sustainable Energy,2018-04-01,27,70,10.1109/TSTE.2017.2754421
0,2-s2.0-85029510171,Integration of large- scale PV plants in non-sinusoidal environments: Considerations on hosting capacity and harmonic distortion limits,Renewable and Sustainable Energy Reviews,2018-01-01,64,69,10.1016/j.rser.2017.09.028
0,2-s2.0-85044343404,Probabilistic Assessment of Hosting Capacity in Radial Distribution Systems,IEEE Transactions on Sustainable Energy,2018-10-01,40,67,10.1109/TSTE.2018.2819201
0,2-s2.0-85073705053,A review of hosting capacity quantification methods for photovoltaics in low-voltage distribution grids,International Journal of Electrical Power and Energy Systems,2020-02-01,101,65,10.1016/j.ijepes.2019.105445
0,2-s2.0-84961725694,High PV penetration impacts on five local distribution networks using high resolution solar resource assessment with sky imager and quasi-steady state distribution system simulations,Solar Energy,2016-07-01,23,63,10.1016/j.solener.2016.03.019
0,2-s2.0-85031743556,Probabilistic Hosting Capacity for Active Distribution Networks,IEEE Transactions on Industrial Informatics,2017-10-01,76,63,10.1109/TII.2017.2698505
0,2-s2.0-85028840236,Distribution Network Electric Vehicle Hosting Capacity Maximization: A Chargeable Region Optimization Model,IEEE Transactions on Power Systems,2017-09-01,28,62,10.1109/TPWRS.2017.2652485
0,2-s2.0-84956859620,Understanding photovoltaic hosting capacity of distribution circuits,IEEE Power and Energy Society General Meeting,2015-09-30,16,61,10.1109/PESGM.2015.7286510
0,2-s2.0-85039767124,A new approach to voltage management in unbalanced low voltage networks using demand response and OLTC considering consumer preference,International Journal of Electrical Power and Energy Systems,2018-07-01,52,61,10.1016/j.ijepes.2017.12.034
0,2-s2.0-85006993290,Maximizing hosting capacity of renewable energy sources in distribution networks: A multi-objective and scenario-based approach,Energy,2017-01-01,37,59,10.1016/j.energy.2016.11.095
0,2-s2.0-85076306237,Assessment techniques of the impact of grid-tied rooftop photovoltaic generation on the power quality of low voltage distribution network - A review,Renewable and Sustainable Energy Reviews,2020-03-01,129,58,10.1016/j.rser.2019.109643
0,2-s2.0-85046080831,Efficient Control of Energy Storage for Increasing the PV Hosting Capacity of LV Grids,IEEE Transactions on Smart Grid,2018-05-01,45,57,10.1109/TSG.2016.2609892
0,2-s2.0-85047004881,Practical Considerations for Optimal Conductor Reinforcement and Hosting Capacity Enhancement in Radial Distribution Systems,IEEE Access,2018-05-16,21,52,10.1109/ACCESS.2018.2835165
0,2-s2.0-84890511100,Active management of renewable energy sources for maximizing power production,International Journal of Electrical Power and Energy Systems,2014-05-01,41,51,10.1016/j.ijepes.2013.11.040
0,2-s2.0-85015984520,Integration of PV and EVs in unbalanced residential LV networks and implications for the smart grid and advanced metering infrastructure deployment,International Journal of Electrical Power and Energy Systems,2017-10-01,41,50,10.1016/j.ijepes.2017.03.008
0,2-s2.0-85053419527,Improvement in policy and proactive interconnection procedure for renewable energy expansion in South Korea,Renewable and Sustainable Energy Reviews,2018-12-01,55,50,10.1016/j.rser.2018.09.013
0,2-s2.0-85043469149,Quantified flexibility evaluation of soft open points to improve distributed generator penetration in active distribution networks based on difference-of-convex programming,Applied Energy,2018-05-15,49,50,10.1016/j.apenergy.2018.02.170
0,2-s2.0-85064264639,Wind-solar complementarity and effective use of distribution network capacity,Applied Energy,2019-08-01,35,48,10.1016/j.apenergy.2019.04.042
0,2-s2.0-85105115068,Risk-Averse Storage Planning for Improving RES Hosting Capacity under Uncertain Siting Choices,IEEE Transactions on Sustainable Energy,2021-10-01,26,48,10.1109/TSTE.2021.3075615
0,2-s2.0-85033411166,Optimization-based distribution grid hosting capacity calculations,Applied Energy,2018-06-01,39,47,10.1016/j.apenergy.2017.10.127
0,2-s2.0-84908146702,Considerations on hosting capacity for harmonic distortions on transmission and distribution systems,Electric Power Systems Research,2015-01-01,33,46,10.1016/j.epsr.2014.09.020
0,2-s2.0-84995916499,Distribution networks’ energy losses versus hosting capacity of wind power in the presence of demand flexibility,Renewable Energy,2017-03-01,32,44,10.1016/j.renene.2016.10.051
