Authors,Author full names,Author(s) ID,Titles,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Cited by,Link,Affiliations,Authors with affiliations,Abstract,Indexed Keywords,Author Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Godina R.; Rodrigues E.M.G.; Matias J.C.O.; Catalão J.P.S.,"Godina, Radu (56586027200); Rodrigues, Eduardo M.G. (57192667259); Matias, João C.O. (56015094400); Catalão, João P.S. (57204848031)",56586027200; 57192667259; 56015094400; 57204848031,Effect of loads and other key factors on oil-transformer ageing: Sustainability benefits and challenges,2015,Energies,8,10,,12147,12186,39.0,10.3390/en81012147,83,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946033977&doi=10.3390%2fen81012147&partnerID=40&md5=ff7725eaaab8ea7024605a6f42bf3354,"University of Beira Interior, R. Fonte do Lameiro, Covilha, 6201-001, Portugal; Faculty of Engineering of the University of Porto, R. Dr. Roberto Frias, Porto, 4200-465, Portugal; INESC-ID, Instituto Superior Técnico, University of Lisbon, Av. Rovisco Pais, 1, Lisbon, 1049 001, Portugal","Godina R., University of Beira Interior, R. Fonte do Lameiro, Covilha, 6201-001, Portugal; Rodrigues E.M.G., University of Beira Interior, R. Fonte do Lameiro, Covilha, 6201-001, Portugal; Matias J.C.O., University of Beira Interior, R. Fonte do Lameiro, Covilha, 6201-001, Portugal; Catalão J.P.S., University of Beira Interior, R. Fonte do Lameiro, Covilha, 6201-001, Portugal, Faculty of Engineering of the University of Porto, R. Dr. Roberto Frias, Porto, 4200-465, Portugal, INESC-ID, Instituto Superior Técnico, University of Lisbon, Av. Rovisco Pais, 1, Lisbon, 1049 001, Portugal","Transformers are one of the more expensive pieces of equipment found in a distribution network. The transformer's role has not changed over the last decades. With simple construction and at the same time mechanically robust, they offer long term service that on average can reach half a century. Today, with the ongoing trend to supply a growing number of non-linear loads along with the notion of distributed generation (DG), a new challenge has arisen in terms of transformer sustainability, with one of the possible consequences being accelerated ageing. In this paper we carefully review the existing studies in the literature of the effect of loads and other key factors on oil-transformer ageing. The state-of-the-art is reviewed, each factor is analysed in detail, and in the end a smart transformer protection method is sought in order to monitor and protect it from upcoming challenges. © 2015 by the authors.",Electric power distribution; Loading; Oil filled transformers; Sustainable development; Accelerated ageing; Energy; Long term service; Mechanically robust; Nonlinear load; Oil transformers; State of the art; Transformer; Transformer protection,Distribution network; Energy; Load; Sustainability; Transformer,"J.P.S. Catalão; University of Beira Interior, R. Fonte do Lameiro, Covilha, 6201-001, Portugal; email: catalao@ubi.pt",,MDPI AG,19961073,,,,English,Energies,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-84946033977
Humayun M.; Degefa M.Z.; Safdarian A.; Lehtonen M.,"Humayun, Muhammad (55877186000); Degefa, Merkebu Z. (42261200600); Safdarian, Amir (42262641400); Lehtonen, Matti (7006610003)",55877186000; 42261200600; 42262641400; 7006610003,Utilization improvement of transformers using demand response,2015,IEEE Transactions on Power Delivery,30,1,6837513,202,210,8.0,10.1109/TPWRD.2014.2325610,54,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027918526&doi=10.1109%2fTPWRD.2014.2325610&partnerID=40&md5=1ddbd9a4e34ae547ad46dc52a3931130,"Department of Electrical Engineering and Automation, Aalto University, Aalto, FI-00076, Finland","Humayun M., Department of Electrical Engineering and Automation, Aalto University, Aalto, FI-00076, Finland; Degefa M.Z., Department of Electrical Engineering and Automation, Aalto University, Aalto, FI-00076, Finland; Safdarian A., Department of Electrical Engineering and Automation, Aalto University, Aalto, FI-00076, Finland; Lehtonen M., Department of Electrical Engineering and Automation, Aalto University, Aalto, FI-00076, Finland","Due to load growth, aging infrastructure, and a competitive environment, innovative solutions are required by electrical utilities to enhance the utilization of transformers which are cost intensive. This paper proposes a demand response optimization model based on transformer hottest-spot temperature. The optimization model quantifies the improvement of transformer utilization through DR. The proposed model is applied to a typical Finnish residential primary and secondary distribution transformers for case studies of load with and without DR. The results show that the loading on the transformers can be significantly increased without sacrificing the life of transformers. The gain in utilization depends on the DR capability of the load. Significant monetary benefits can be achieved with the deployment of the proposed model in a real system. © 2014 IEEE.",Aging of materials; Electric transformers; Optimization; Smart power grids; Asset utilization; Demand response; Loss of life; Power distributions; Smart grid; Transformer; Loading,Aging; Asset utilization; Demand response; Loss of life; Power distribution; Smart grid; Transformer,,,Institute of Electrical and Electronics Engineers Inc.,08858977,,ITPDE,,English,IEEE Trans Power Delivery,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85027918526
Lai C.-M.; Teh J.,"Lai, Ching-Ming (35995574800); Teh, Jiashen (56992718600)",35995574800; 56992718600,Comprehensive review of the dynamic thermal rating system for sustainable electrical power systems,2022,Energy Reports,8,,,3263,3288,25.0,10.1016/j.egyr.2022.02.085,10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125238770&doi=10.1016%2fj.egyr.2022.02.085&partnerID=40&md5=fa63363c37fc6ae5634c318e6c98ce5e,"Department of Electrical Engineering, National Chung Hsing University (NCHU), 145 Xing Da Road, South District, Taichung, 402, Taiwan; School of Electrical and Electronic Engineering, Engineering Campus, Universiti Sains Malaysia (USM), Nibong Tebal, Penang, 14300, Malaysia","Lai C.-M., Department of Electrical Engineering, National Chung Hsing University (NCHU), 145 Xing Da Road, South District, Taichung, 402, Taiwan; Teh J., School of Electrical and Electronic Engineering, Engineering Campus, Universiti Sains Malaysia (USM), Nibong Tebal, Penang, 14300, Malaysia","The dynamic thermal rating (DTR) system can safely determine the thermal limits of power components on the basis of environmental conditions. Studies have shown that the DTR system can provide ratings that are higher than the traditional static thermal rating (STR) 80% to 90% of the time; 50% of the time, DTR is 15% to 30% higher than STR. Hence, the benefits and applications of the DTR system have been widely investigated and reported in various review papers. However, available reviews of the DTR system focused on transmission lines and networks only, ignoring the thermal limits of the transformer and distribution cable, which could form a thermal bottleneck. Moreover, these review articles cover only a few research themes, and many important research topics are left undiscussed. Therefore, these reviews cannot provide sufficiently diverse research on the DTR system. These drawbacks are addressed in this review article, which covers 176 notable research articles related to the DTR system obtained from three major databases, namely, IEEE, Elsevier, and Wiley. The collected articles are categorized based on their focus (e.g., distribution networks, transmission networks, and transformers) and then further classified into small groups on the basis of their research themes. Such an approach provides prospective researchers of the DTR system a one-stop summary of all previous studies. © 2022 The Author(s)",Dynamic thermal rating system; Dynamic thermal ratings; Electrical power system; Environmental conditions; Power components; Rating system; Static thermal rating; Thermal balance; Thermal limits; Transformer; Electric power transmission,Distribution network; Dynamic thermal rating system; Thermal balance; Transformer; Transmission network,"J. Teh; School of Electrical and Electronic Engineering, Engineering Campus, Universiti Sains Malaysia (USM), Nibong Tebal, Penang, 14300, Malaysia; email: jiashenteh@usm.my",,Elsevier Ltd,23524847,,,,English,Energy Rep.,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85125238770
Abdelsamad S.F.; Morsi W.G.; Sidhu T.S.,"Abdelsamad, Sherif F. (56462996600); Morsi, Walid G. (22635671700); Sidhu, Tarlochan S. (7005303359)",56462996600; 22635671700; 7005303359,Probabilistic Impact of Transportation Electrification on the Loss-of-Life of Distribution Transformers in the Presence of Rooftop Solar Photovoltaic,2015,IEEE Transactions on Sustainable Energy,6,4,7210225,1565,1573,8.0,10.1109/TSTE.2015.2455554,52,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960809589&doi=10.1109%2fTSTE.2015.2455554&partnerID=40&md5=aa02c1be02102fba65d9e29905df09cf,"Department of Electrical Engineering, University of Ontario, Institute of Technology, Oshawa, L1H7K4, ON, Canada","Abdelsamad S.F., Department of Electrical Engineering, University of Ontario, Institute of Technology, Oshawa, L1H7K4, ON, Canada; Morsi W.G., Department of Electrical Engineering, University of Ontario, Institute of Technology, Oshawa, L1H7K4, ON, Canada; Sidhu T.S., Department of Electrical Engineering, University of Ontario, Institute of Technology, Oshawa, L1H7K4, ON, Canada","In this paper, the impact of plug-in electric vehicle (PEV) charging on distribution transformer overload and loss-of-life (LOL) in the presence of rooftop solar photovoltaic (PV) is probabilistically quantified. The Monte Carlo (MC) method is used to address the uncertainties resulting from solar irradiance and temperature in case of solar PV and also to emulate the probabilistic aspect of PEV charging. Twenty scenarios of different penetration levels of solar PVs and PEVs are considered in this work. The results have shown significant reduction in percentage LOL due to solar PV contribution in the case of all-electric (AE) residential dwellings and hence the transformer replacement may be deferred by nearly 4 years, while it has a minor effect in the case of residential dwellings with gas heat and electric water heaters (WWH). © 2015 IEEE.",Amphibious vehicles; Buildings; Crashworthiness; Electric automobiles; Electric losses; Electric transformers; Electric utilities; Electric vehicles; Housing; Monte Carlo methods; Probability distributions; Solar concentrators; Water heaters; Distribution transformer; Electric water heaters; Plug in Electric Vehicle (PEV); Probabilistic aspects; Probabilistic impact; Residential dwelling; Transformer replacement; Transportation electrifications; Solar power generation,Loss of life (LOL); Monte Carlo (MC) methods; Rooftop solar photovoltaic (PV),,,Institute of Electrical and Electronics Engineers Inc.,19493029,,,,English,IEEE Trans. Sustainable Energy,Article,Final,,Scopus,2-s2.0-84960809589
Salama M.M.M.; Mansour D.-E.A.; Daghrah M.; Abdelkasoud S.M.; Abbas A.A.,"Salama, Mohamed M.M. (57551661100); Mansour, Diaa-Eldin A. (22962535400); Daghrah, Muhammad (57188933362); Abdelkasoud, Samir Mohamed (57212132902); Abbas, Ahmed A. (57207776653)",57551661100; 22962535400; 57188933362; 57212132902; 57207776653,Thermal performance of transformers filled with environmentally friendly oils under various loading conditions,2020,International Journal of Electrical Power and Energy Systems,118,,105743,,,,10.1016/j.ijepes.2019.105743,43,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076007766&doi=10.1016%2fj.ijepes.2019.105743&partnerID=40&md5=b2ce2f336c6119dd872a6157d65c2748,"Department of Electrical Power and Machines Engineering, Faculty of Engineering at Shoubra, Benha University, Cairo, Egypt; Department of Electrical Power and Machines Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; M&I Materials Ltd, Manchester, United Kingdom","Salama M.M.M., Department of Electrical Power and Machines Engineering, Faculty of Engineering at Shoubra, Benha University, Cairo, Egypt; Mansour D.-E.A., Department of Electrical Power and Machines Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; Daghrah M., M&I Materials Ltd, Manchester, United Kingdom; Abdelkasoud S.M., Department of Electrical Power and Machines Engineering, Faculty of Engineering at Shoubra, Benha University, Cairo, Egypt; Abbas A.A., Department of Electrical Power and Machines Engineering, Faculty of Engineering at Shoubra, Benha University, Cairo, Egypt","The transformer thermal performance is a crucial issue that should be considered in the design stage. Recently, natural and synthetic ester oils have been proposed as environmentally friendly oils to substitute conventional mineral oil. This paper aims to evaluate the transformer thermal performance when using these environmentally friendly oils under different loading power factors. Three commercial types of environmentally friendly oils are considered, Midel 1204 and Midel 1215 as natural esters and Midel 7131 as a synthetic ester. Thermal-related properties of these esters are experimentally evaluated. These results include viscosity, thermal conductivity, specific heat capacity, and density. The experimental data is used to find a best representative formula for the thermo physical properties of these oils as a function of operating temperature by using least square regression method. A model 3D CFD COMSOL model is built including heat transfer model and laminar flow model to calculate the rated top oil temperature (TOT) and the rated winding hottest spot temperature (HST) for these environmentally friendly oils and for mineral oil. The rated output TOT and HST from COMSOL are used as inputs for a developed MATLAB model through which TOT and HST all day long can be obtained. Using these models, the TOT and HST for transformers filled with mineral oil and environmentally friendly oils are obtained. Also, the transformer aging and loss of life are assessed with these oils for the different scenarios of the loading power factor (PF). Finally, the annual energy losses of the transformer, their cost, and their impact on greenhouses gases emissions and corresponding environmental cost are evaluated as key issues for making proper decisions toward using environmentally friendly oils. It was found that using environmentally friendly oils reduces significantly the transformer aging compared to using mineral oil for different loading PFs. © 2019 Elsevier Ltd",3D modeling; Computational fluid dynamics; Electric power factor; Energy dissipation; Esters; Heat transfer; Laminar flow; Least squares approximations; MATLAB; Mineral oils; Minerals; Regression analysis; Specific heat; Thermal conductivity; Environmentally friendly oils; Hotspot temperature; Hottest-spot temperatures; Least square regression method; Representative formula; Thermal Performance; Thermo-physical property; Top oil temperature; Oil filled transformers,Environmentally friendly oils; Hot spot temperature; Thermal performance; Top oil temperature; Transformer aging,"D.-E.A. Mansour; Department of Electrical Power and Machines Engineering, Faculty of Engineering, Tanta University, Tanta, Egypt; email: mansour@f-eng.tanta.edu.eg",,Elsevier Ltd,01420615,,IEPSD,,English,Int J Electr Power Energy Syst,Article,Final,,Scopus,2-s2.0-85076007766
Douglass D.A.; Edris A.-A.,"Douglass, Dale A. (7007050029); Edris, Abdel-Aty (7003832955)",7007050029; 7003832955,Real-time monitoring and dynamic thermal rating of power transmission circuits,1996,IEEE Transactions on Power Delivery,11,3,,1407,1415,8.0,10.1109/61.517499,171,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030190031&doi=10.1109%2f61.517499&partnerID=40&md5=2a7454932ef1f08e2aa25c4c7c8062d5,"IEEE; Power Technologies, Inc., Schenectady, NY 12301, United States; Electric Power Research Institute, Palo Alto, CA 94303, United States","Douglass D.A., IEEE, Power Technologies, Inc., Schenectady, NY 12301, United States; Edris A.-A., IEEE, Electric Power Research Institute, Palo Alto, CA 94303, United States","ANSI standards for power equipment, and a vast store of technical literature, describe various methods by which thermal ratings may be adjusted if actual weather conditions are known or if the ""overload"" is to be applied for a limited period of time. These methods have been given various names including dynamic thermal rating, on-line rating, and dynamic ratings to describe the process of adjusting thermal ratings of power equipment for actual weather conditions and actual electrical load patterns. This paper discusses in detail a recent project undertaken by the Electric Power Research Institute (RP 3022-7) as part of its research on Flexible AC Transmission. This project avoids dependence on temperature measurement, instead, calculating critical equipment component temperatures based solely on real-time weather and electrical current. Inexpensive, commercially available weather stations, digital data loggers, and IBM-compatible PC computers are combined with sophisticated thermal algorithms to yield a portable, flexible, instrumentation method which can rate several transmission circuits simultaneously, including underground cable, overhead lines, power transformers, current transformers, switches, bus, line traps, and circuit breakers. Useable increases of 5% to 15% in the thermal capacity of transmission equipment circuits result. © 1994 IEEE.",Algorithms; Electric circuit breakers; Electric conductors; Electric switches; Electric transformers; Monitoring; Overhead lines; Personal computers; Real time systems; Underground cables; Dynamic thermal ratings; Power transmission circuits; Static thermal ratings; Electric power transmission networks,Conductors; Dynamic; Monitoring; Real-time; Thermal ratings; Transmission,,,,08858977,,ITPDE,,English,IEEE Trans Power Delivery,Article,Final,,Scopus,2-s2.0-0030190031
Jiang J.; Chen R.; Chen M.; Wang W.; Zhang C.,"Jiang, Jun (57211817391); Chen, Ruyi (56906440600); Chen, Min (55733250100); Wang, Wenhao (35231440400); Zhang, Chaohai (55682018500)",57211817391; 56906440600; 55733250100; 35231440400; 55682018500,Dynamic Fault Prediction of Power Transformers Based on Hidden Markov Model of Dissolved Gases Analysis,2019,IEEE Transactions on Power Delivery,34,4,8645722,1393,1400,7.0,10.1109/TPWRD.2019.2900543,58,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069946875&doi=10.1109%2fTPWRD.2019.2900543&partnerID=40&md5=ce477d57577b33afd0ace564e799a992,"Jiangsu Key Laboratory of New Energy Generation and Power Conversion, Nanjing University of Aeronautics and Astronautics, Nanjing, China; State Grid Zhejiang Electric Power Co. Ltd., Research Institute, Hangzhou, China","Jiang J., Jiangsu Key Laboratory of New Energy Generation and Power Conversion, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Chen R., Jiangsu Key Laboratory of New Energy Generation and Power Conversion, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Chen M., State Grid Zhejiang Electric Power Co. Ltd., Research Institute, Hangzhou, China; Wang W., State Grid Zhejiang Electric Power Co. Ltd., Research Institute, Hangzhou, China; Zhang C., Jiangsu Key Laboratory of New Energy Generation and Power Conversion, Nanjing University of Aeronautics and Astronautics, Nanjing, China","Dissolved gases analysis (DGA) provides widely recognized practice for oil-immersed power transformers, and it is mainly interpreted for fault diagnosis. In order to accurately estimate the health index state of power transformers and predict the incipient operation failure, a dynamic fault prediction technique based on hidden Markov model (HMM) of DGA is proposed in this paper. Gaussian mixture model, as a soft clustering method, is used to extract the static features of different health states from a DGA dataset of 65 in-service power transformers with 1600 days operation. Especially, a sub-health state is introduced to enrich the health index and aging stages of power transformers. The static features between health states and concentrations of dissolved gases are built, and the effectiveness of clustering is cross validated. Furthermore, taking time sequence into consideration, transition probability of power transformer between different health states based on the HMM model is calculated and analyzed. The effectiveness of dynamic early warning and incipient fault prediction in sub-health status of in-service power transformers has been proved. Moreover, the dynamic fault prediction is able to provide decision-making basis for practical condition-based operation and maintenances. © 1986-2012 IEEE.",Decision making; Dissolution; Forecasting; Gaussian distribution; Health; Oil filled transformers; Power transformers; Trellis codes; Dissolved gases analysis; Fault prediction; Gaussian Mixture Model; Oil immersed power transformer; Operation and maintenance; Operation failure; Sub-health state; Transition probabilities; Hidden Markov models,dissolved gases analysis; fault prediction; Gaussian mixture model; hidden Markov model; Power transformers,"J. Jiang; Jiangsu Key Laboratory of New Energy Generation and Power Conversion, Nanjing University of Aeronautics and Astronautics, Nanjing, China; email: jiangjun0628@163.com",,Institute of Electrical and Electronics Engineers Inc.,08858977,,ITPDE,,English,IEEE Trans Power Delivery,Article,Final,,Scopus,2-s2.0-85069946875
Daminov I.; Prokhorov A.; Caire R.; Alvarez-Herault M.-C.,"Daminov, Ildar (57188631379); Prokhorov, Anton (57212545477); Caire, Raphael (6507575829); Alvarez-Herault, Marie-Cécile (36026822900)",57188631379; 57212545477; 6507575829; 36026822900,Energy limit of oil-immersed transformers: A concept and its application in different climate conditions,2021,"IET Generation, Transmission and Distribution",15,3,,495,507,12.0,10.1049/gtd2.12036,2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105231620&doi=10.1049%2fgtd2.12036&partnerID=40&md5=076fc0a20951ccab9b6a6c829bb1fa1f,"G2Elab, Université Grenoble Alpes, CNRS, Grenoble INP, 21 Avenue des Martyrs, Grenoble, 38000, France; Power Engineering School, Tomsk Polytechnic University, 7, Usov street, Tomsk, 634034, Russian Federation","Daminov I., G2Elab, Université Grenoble Alpes, CNRS, Grenoble INP, 21 Avenue des Martyrs, Grenoble, 38000, France, Power Engineering School, Tomsk Polytechnic University, 7, Usov street, Tomsk, 634034, Russian Federation; Prokhorov A., Power Engineering School, Tomsk Polytechnic University, 7, Usov street, Tomsk, 634034, Russian Federation; Caire R., G2Elab, Université Grenoble Alpes, CNRS, Grenoble INP, 21 Avenue des Martyrs, Grenoble, 38000, France; Alvarez-Herault M.-C., G2Elab, Université Grenoble Alpes, CNRS, Grenoble INP, 21 Avenue des Martyrs, Grenoble, 38000, France","The reality of modern power grids requires the use of flexibilities from generation, load and storage. These flexibilities allow system operators to modify a transformer loading in a smart way. Therefore, power constraints of transformers can be overcome by using the appropriate flexibility. However, transformers have a physical limit of energy transfer which cannot be overpassed. This energy limit represents the unique transformer's loading profile, ensuring the highest energy transfer under a given ambient temperature profile. The paper explains how the energy limit can be calculated. Typical characteristics of an energy limit are estimated in cold continental climate of Russia and warm temperate climate in France. Maximal, minimal and mean loadings are identified for each month. Loading durations of energy limit are determined for each cooling system. It is found that winding temperatures of transformers, operating at energy limits, remain in the vicinity of design winding temperature. Therefore, transformer operation at energy limit avoids a high temperature stress and simultaneously maximizes the energy transfer. The application of energy limits for power system problems is briefly explained along the paper. Energy limit application can reduce an energy cost, maximize a renewable generation and increase a hosting capacity of distribution network. © 2020 The Authors. IET Generation, Transmission & Distribution published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology",Electric power transmission networks; Energy transfer; Winding; Climate condition; Continental climate; High temperature stress; Oil immersed transformers; Power constraints; Renewable generation; Temperate climate; Transformer loadings; Loading,,"I. Daminov; G2Elab, Université Grenoble Alpes, CNRS, Grenoble INP, Grenoble, 21 Avenue des Martyrs, 38000, France; email: ildar.daminov@grenoble-inp.fr",,John Wiley and Sons Inc,17518687,,,,English,IET Gener. Transm. Distrib.,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85105231620
Fernández I.; Delgado F.; Ortiz F.; Ortiz A.; Fernández C.; Renedo C.J.; Santisteban A.,"Fernández, Inmaculada (35770546200); Delgado, Fernando (56210197900); Ortiz, Félix (56242711700); Ortiz, Alfredo (56427042200); Fernández, Cristina (57199689502); Renedo, Carlos J. (6508271465); Santisteban, Agustín (57189342119)",35770546200; 56210197900; 56242711700; 56427042200; 57199689502; 6508271465; 57189342119,Thermal degradation assessment of Kraft paper in power transformers insulated with natural esters,2016,Applied Thermal Engineering,104,,,129,138,9.0,10.1016/j.applthermaleng.2016.05.020,48,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969492086&doi=10.1016%2fj.applthermaleng.2016.05.020&partnerID=40&md5=11e57380ed3890a55cdb6bbbabfc328d,"Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain","Fernández I., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain; Delgado F., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain; Ortiz F., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain; Ortiz A., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain; Fernández C., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain; Renedo C.J., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain; Santisteban A., Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Avenida de Los Castros, Santander, Cantabria, 39005, Spain","Kraft paper in combination with dielectric oil is the most common as insulation system used in power transformers. The most used oil in power transformers is mineral oil. However, dielectric oils based on natural esters possess some advantages in comparison with mineral oil such as higher biodegradability, fire safety and availability. Therefore, they might be the most ideal substitute for mineral oil. The introduction of a new material requires the evaluation of its degradation rate because this determines transformers' life span. In order to assess the performance of new insulating systems based on vegetable oils, simulations to obtain the hot-spot temperatures in power transformers using vegetable oils and controlled laboratory experiments of ageing were carried out. The reason is that hot spot temperature inside windings of the oil-immersed power transformers is one of the main manifestations of the thermal stress which leads to aging of insulation systems. © 2016 Elsevier Ltd. All rights reserved.",Esters; Kraft Papers; Pyrolysis; Transformers; Biodegradability; Degradation; Esters; Insulation; Kraft paper; Mineral oils; Minerals; Oil filled transformers; Paper; Thermal insulation; Vegetable oils; Controlled laboratories; Degradation assessment; Degradation rate; Hotspot temperature; Insulating system; Insulation system; Natural esters; Oil immersed power transformer; Power transformers,Degradation rate; Insulation system; Kraft paper; Natural esters; Power transformer,"A. Ortiz; Electrical and Energy Engineering Department, E.T.S. de Ingenieros Industriales y de Telecomunicación, University of Cantabria, Santander, Cantabria, Avenida de Los Castros, 39005, Spain; email: ortizfa@unican.es",,Elsevier Ltd,13594311,,ATENF,,English,Appl Therm Eng,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-84969492086
Cui Y.; Ma H.; Saha T.; Ekanayake C.; Martin D.,"Cui, Yi (56045823400); Ma, Hui (55723493000); Saha, Tapan (35570365800); Ekanayake, Chandima (9337517700); Martin, Daniel (7406281229)",56045823400; 55723493000; 35570365800; 9337517700; 7406281229,Moisture-Dependent thermal modelling of power transformer,2016,IEEE Transactions on Power Delivery,31,5,7470291,2140,2150,10.0,10.1109/TPWRD.2016.2569123,38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990058617&doi=10.1109%2fTPWRD.2016.2569123&partnerID=40&md5=cef17f88af913121b03c2fdb72714aa1,"School of Information Technology and Electrical Engineering, University of Queensland, Brisbane, 4072, Australia","Cui Y., School of Information Technology and Electrical Engineering, University of Queensland, Brisbane, 4072, Australia; Ma H., School of Information Technology and Electrical Engineering, University of Queensland, Brisbane, 4072, Australia; Saha T., School of Information Technology and Electrical Engineering, University of Queensland, Brisbane, 4072, Australia; Ekanayake C., School of Information Technology and Electrical Engineering, University of Queensland, Brisbane, 4072, Australia; Martin D., School of Information Technology and Electrical Engineering, University of Queensland, Brisbane, 4072, Australia","Hot-spot temperature (HST) is recognized as one of the key factors affecting the life expectancy of a transformer. In this study, a moisture-dependent thermal model (MDTM) for estimating the transformer hot-spot temperature is proposed. In this model, nonlinear thermal resistance is formulated by considering oil and cellulose (paper and pressboard) of the transformer. Especially, the effect of moisture concentration and temperature on the thermal resistance of cellulose is taken into account. The proposed MDTM is verified by using historical data, including moisture-in-oil measurements, temperature measurements, and loading profiles, which were collected from two in-service power transformers, that is, a vegetable oil-filled transformer and a mineral oil-filled transformer. Comparisons between the proposed MDTM and a number of existing thermal models were performed on the basis of adequacy and accuracy metrics. © 1986-2012 IEEE.",Moisture; Press Boards; Thermal Resistance; Transformers; Cellulose; Moisture; Power transformers; Temperature measurement; Thermography (temperature measurement); Historical data; Hotspot temperature; Life expectancies; Moisture concentration; Thermal modelling; Top oil temperature; transformer; Transformer hot-spot temperatures; Oil filled transformers,Hot-spot temperature; moisture; top-oil temperature; transformer,,,Institute of Electrical and Electronics Engineers Inc.,08858977,,ITPDE,,English,IEEE Trans Power Delivery,Article,Final,,Scopus,2-s2.0-84990058617
